SUBDIVISION,YEAR,FORECAST_RAINFALL
Andaman & Nicobar Islands,2018,2867.81005859375
Andaman & Nicobar Islands,2019,2740.93505859375
Andaman & Nicobar Islands,2020,2808.684326171875
Andaman & Nicobar Islands,2021,2738.2734375
Andaman & Nicobar Islands,2022,2847.52392578125
Andaman & Nicobar Islands,2023,2825.73583984375
Andaman & Nicobar Islands,2024,2841.215576171875
Andaman & Nicobar Islands,2025,2834.22998046875
Andaman & Nicobar Islands,2026,2816.9423828125
Andaman & Nicobar Islands,2027,2795.80322265625
Andaman & Nicobar Islands,2028,2776.95947265625
Andaman & Nicobar Islands,2029,2859.1357421875
Andaman & Nicobar Islands,2030,2741.348388671875
Arunachal Pradesh,2018,2548.17822265625
Arunachal Pradesh,2019,2663.30419921875
Arunachal Pradesh,2020,2823.104736328125
Arunachal Pradesh,2021,2723.849853515625
Arunachal Pradesh,2022,2777.966064453125
Arunachal Pradesh,2023,2706.453369140625
Arunachal Pradesh,2024,2796.33056640625
Arunachal Pradesh,2025,2769.604736328125
Arunachal Pradesh,2026,2743.1220703125
Arunachal Pradesh,2027,2748.4130859375
Arunachal Pradesh,2028,2765.502685546875
Arunachal Pradesh,2029,2769.70751953125
Arunachal Pradesh,2030,2760.20849609375
Assam & Meghalaya,2018,2610.462890625
Assam & Meghalaya,2019,2618.447265625
Assam & Meghalaya,2020,2546.260498046875
Assam & Meghalaya,2021,2628.241943359375
Assam & Meghalaya,2022,2658.085693359375
Assam & Meghalaya,2023,2667.186279296875
Assam & Meghalaya,2024,2656.190185546875
Assam & Meghalaya,2025,2701.525146484375
Assam & Meghalaya,2026,2737.757568359375
Assam & Meghalaya,2027,2731.495849609375
Assam & Meghalaya,2028,2741.558837890625
Assam & Meghalaya,2029,2760.398193359375
Assam & Meghalaya,2030,2735.45703125
Bihar,2018,995.6922607421875
Bihar,2019,1081.3763427734375
Bihar,2020,1066.866943359375
Bihar,2021,1109.7236328125
Bihar,2022,1044.7388916015625
Bihar,2023,1072.1405029296875
Bihar,2024,1035.6854248046875
Bihar,2025,1075.9613037109375
Bihar,2026,1069.3875732421875
Bihar,2027,1090.5767822265625
Bihar,2028,1057.1832275390625
Bihar,2029,1056.79296875
Bihar,2030,1085.1607666015625
Chhattisgarh,2018,1259.6827392578125
Chhattisgarh,2019,1117.7042236328125
Chhattisgarh,2020,1203.0250244140625
Chhattisgarh,2021,1145.06201171875
Chhattisgarh,2022,1122.1251220703125
Chhattisgarh,2023,1123.3988037109375
Chhattisgarh,2024,1090.681396484375
Chhattisgarh,2025,1093.346923828125
Chhattisgarh,2026,1075.7945556640625
Chhattisgarh,2027,1048.806884765625
Chhattisgarh,2028,1055.6165771484375
Chhattisgarh,2029,1068.2559814453125
Chhattisgarh,2030,1099.8311767578125
Coastal Andhra Pradesh,2018,1059.4503173828125
Coastal Andhra Pradesh,2019,913.1029052734375
Coastal Andhra Pradesh,2020,994.10906982421875
Coastal Andhra Pradesh,2021,1026.026123046875
Coastal Andhra Pradesh,2022,937.52069091796875
Coastal Andhra Pradesh,2023,1064.95703125
