SUBDIVISION,Year,Forecasted_Rainfall,Lower_Bound,Upper_Bound,Alert,MAE,RMSE
Andaman & Nicobar Islands,2018,2808.46,1665.36,3951.56,Normal Rainfall,541.74,649.84
Andaman & Nicobar Islands,2019,2945.95,1799.82,4092.08,Normal Rainfall,541.74,649.84
Andaman & Nicobar Islands,2020,3090.91,1939.9,4241.93,Normal Rainfall,541.74,649.84
Andaman & Nicobar Islands,2021,3070.7,1914.86,4226.55,Normal Rainfall,541.74,649.84
Andaman & Nicobar Islands,2022,3170.6,2009.91,4331.28,Heavy Rainfall Alert,541.74,649.84
Andaman & Nicobar Islands,2023,3314.79,2149.25,4480.33,Heavy Rainfall Alert,541.74,649.84
Andaman & Nicobar Islands,2024,3165.12,1994.71,4335.53,Heavy Rainfall Alert,541.74,649.84
Andaman & Nicobar Islands,2025,3287.64,2112.36,4462.91,Heavy Rainfall Alert,541.74,649.84
Andaman & Nicobar Islands,2026,2973.41,1793.44,4153.39,Normal Rainfall,541.74,649.84
Andaman & Nicobar Islands,2027,2942.27,1758.83,4125.71,Normal Rainfall,541.74,649.84
Arunachal Pradesh,2018,2744.84,912.75,4576.93,Below Normal Rainfall,566.3,619.85
Arunachal Pradesh,2019,2785.48,853.07,4717.89,Below Normal Rainfall,566.3,619.85
Arunachal Pradesh,2020,2561.85,595.17,4528.53,Drought Warning,566.3,619.85
Arunachal Pradesh,2021,2422.81,431.08,4414.55,Drought Warning,566.3,619.85
Arunachal Pradesh,2022,2425.41,410.49,4440.34,Drought Warning,566.3,619.85
Arunachal Pradesh,2023,2847.12,809.57,4884.67,Below Normal Rainfall,566.3,619.85
Arunachal Pradesh,2024,2962.68,902.82,5022.55,Below Normal Rainfall,566.3,619.85
Arunachal Pradesh,2025,2246.0,164.04,4327.95,Drought Warning,566.3,619.85
Arunachal Pradesh,2026,2331.55,227.9,4435.2,Drought Warning,566.3,619.85
Arunachal Pradesh,2027,2235.34,109.08,4361.59,Drought Warning,566.3,619.85
Assam & Meghalaya,2018,2330.55,1676.71,2984.39,Below Normal Rainfall,342.89,430.27
Assam & Meghalaya,2019,2421.65,1767.23,3076.07,Below Normal Rainfall,342.89,430.27
Assam & Meghalaya,2020,2452.64,1792.81,3112.48,Normal Rainfall,342.89,430.27
Assam & Meghalaya,2021,2354.66,1690.23,3019.09,Below Normal Rainfall,342.89,430.27
Assam & Meghalaya,2022,2458.36,1790.08,3126.64,Normal Rainfall,342.89,430.27
Assam & Meghalaya,2023,2407.53,1734.75,3080.31,Below Normal Rainfall,342.89,430.27
Assam & Meghalaya,2024,2399.77,1722.37,3077.17,Below Normal Rainfall,342.89,430.27
Assam & Meghalaya,2025,2342.24,1660.24,3024.24,Below Normal Rainfall,342.89,430.27
Assam & Meghalaya,2026,2389.93,1703.34,3076.52,Below Normal Rainfall,342.89,430.27
Assam & Meghalaya,2027,2291.28,1600.12,2982.44,Below Normal Rainfall,342.89,430.27
Naga Mani Mizo Tripura,2018,2347.99,1531.06,3164.92,Normal Rainfall,380.03,418.73
Naga Mani Mizo Tripura,2019,2249.86,1372.45,3127.27,Below Normal Rainfall,380.03,418.73
Naga Mani Mizo Tripura,2020,1891.58,996.81,2786.36,Drought Warning,380.03,418.73
Naga Mani Mizo Tripura,2021,1977.55,1073.09,2882.0,Below Normal Rainfall,380.03,418.73
